Alpha Code,Numeric Code,Description
&Agrave;,&#192;,SYM_U_AGRAVE
&Aacute;,&#193;,SYM_U_AACUTE
&Acirc;,&#194;,SYM_U_ACIRC
&Atilde;,&#195;,SYM_U_ATILDE
&Auml;,&#196;,SYM_U_AUML
&Aring;,&#197;,SYM_U_ARING
&AElig;,&#198;,SYM_U_AELIG
&Ccedil;,&#199;,SYM_U_CCEDIL
&Egrave;,&#200;,SYM_U_EGRAVE
&Eacute;,&#201;,SYM_U_EACUTE
&Ecirc;,&#202;,SYM_U_ECIRC
&Euml;,&#203;,SYM_U_EUML
&Igrave;,&#204;,SYM_U_IGRAVE
&Iacute;,&#205;,SYM_U_IACUTE
&Icirc;,&#206;,SYM_U_ICIRC
&Iuml;,&#207;,SYM_U_IUML
&ETH;,&#208;,SYM_U_ETH
&Ntilde;,&#209;,SYM_U_NTILDE
&Ograve;,&#210;,SYM_U_OGRAVE
&Oacute;,&#211;,SYM_U_OACUTE
&Ocirc;,&#212;,SYM_U_OCIRC
&Otilde;,&#213;,SYM_U_OTILDE
&Ouml;,&#214;,SYM_U_OUML
&Oslash;,&#216;,SYM_U_OSLASH
&OElig;,&#338;,SYM_U_OELIG
&Scaron;,&#352;,SYM_U_SCARON
&Ugrave;,&#217;,SYM_U_UGRAVE
&Uacute;,&#218;,SYM_U_UACUTE
&Ucirc;,&#219;,SYM_U_UCIRC
&Uuml;,&#220;,SYM_U_UUML
&Yacute;,&#221;,SYM_U_YACUTE
&Yuml;,&#376;,SYM_U_YUML
&THORN;,&#222;,SYM_U_THORN
&szlig;,&#223;,SYM_L_SZLIG
&agrave;,&#224;,SYM_L_AGRAVE
&aacute;,&#225;,SYM_L_AACUTE
&acirc;,&#226;,SYM_L_ACIRC
&atilde;,&#227;,SYM_L_ATILDE
&auml;,&#228;,SYM_L_AUML
&aring;,&#229;,SYM_L_ARING
&aelig;,&#230;,SYM_L_AELIG
&ccedil;,&#231;,SYM_L_CCEDIL
&egrave;,&#232;,SYM_L_EGRAVE
&eacute;,&#233;,SYM_L_EACUTE
&ecirc;,&#234;,SYM_L_ECIRC
&euml;,&#235;,SYM_L_EUML
&igrave;,&#236;,SYM_L_IGRAVE
&iacute;,&#237;,SYM_L_IACUTE
&icirc;,&#238;,SYM_L_ICIRC
&iuml;,&#239;,SYM_L_IUML
&eth;,&#240;,SYM_L_ETH
&ntilde;,&#241;,SYM_L_NTILDE
&ograve;,&#242;,SYM_L_OGRAVE
&oacute;,&#243;,SYM_L_OACUTE
&ocirc;,&#244;,SYM_L_OCIRC
&otilde;,&#245;,SYM_L_OTILDE
&ouml;,&#246;,SYM_L_OUML
&oslash;,&#248;,SYM_L_OSLASH
&oelig;,&#339;,SYM_L_OELIG
&scaron;,&#353;,SYM_L_SCARON
&ugrave;,&#249;,SYM_L_UGRAVE
&uacute;,&#250;,SYM_L_UACUTE
&ucirc;,&#251;,SYM_L_UCIRC
&uuml;,&#252;,SYM_L_UUML
&yacute;,&#253;,SYM_L_YACUTE
&thorn;,&#254;,SYM_L_THORN
&yuml;,&#255;,SYM_L_YUML
