Alpha Code,Numeric Code,Description
&Alpha;,&#913;,SYM_U_ALPHA
&Beta;,&#914;,SYM_U_BETA
&Gamma;,&#915;,SYM_U_GAMMA
&Delta;,&#916;,SYM_U_DELTA
&Epsilon;,&#917;,SYM_U_EPSILON
&Zeta;,&#918;,SYM_U_ZETA
&Eta;,&#919;,SYM_U_ETA
&Theta;,&#920;,SYM_U_THETA
&Iota;,&#921;,SYM_U_IOTA
&Kappa;,&#922;,SYM_U_KAPPA
&Lambda;,&#923;,SYM_U_LAMBDA
&Mu;,&#924;,SYM_U_MU
&Nu;,&#925;,SYM_U_NU
&Xi;,&#926;,SYM_U_XI
&Omicron;,&#927;,SYM_U_OMICRON
&Pi;,&#928;,SYM_U_PI
&Rho;,&#929;,SYM_U_RHO
&Sigma;,&#931;,SYM_U_SIGMA
&Tau;,&#932;,SYM_U_TAU
&Upsilon;,&#933;,SYM_U_UPSILON
&Phi;,&#934;,SYM_U_PHI
&Chi;,&#935;,SYM_U_CHI
&Psi;,&#936;,SYM_U_PSI
&Omega;,&#937;,SYM_U_OMEGA
&alpha;,&#945;,SYM_L_ALPHA
&beta;,&#946;,SYM_L_BETA
&gamma;,&#947;,SYM_L_GAMMA
&delta;,&#948;,SYM_L_DELTA
&epsilon;,&#949;,SYM_L_EPSILON
&zeta;,&#950;,SYM_L_ZETA
&eta;,&#951;,SYM_L_ETA
&theta;,&#952;,SYM_L_THETA
&iota;,&#953;,SYM_L_IOTA
&kappa;,&#954;,SYM_L_KAPPA
&lambda;,&#955;,SYM_L_LAMBDA
&mu;,&#956;,SYM_L_MU
&nu;,&#957;,SYM_L_NU
&xi;,&#958;,SYM_L_XI
&omicron;,&#959;,SYM_L_OMICRON
&pi;,&#960;,SYM_L_PI
&rho;,&#961;,SYM_L_RHO
&sigmaf;,&#962;,SYM_L_SIGMAF
&sigma;,&#963;,SYM_L_SIGMA
&tau;,&#964;,SYM_L_TAU
&upsilon;,&#965;,SYM_L_UPSILON
&phi;,&#966;,SYM_L_PHI
&chi;,&#967;,SYM_L_CHI
&psi;,&#968;,SYM_L_PSI
&omega;,&#969;,SYM_L_OMEGA
&thetasym;,&#977;,SYM_THETASYM
&upsih;,&#978;,SYM_UPSIH
&piv;,&#982;,SYM_PIV
