Alpha Code,Numeric Code,Description
&Agrave;,&#192;,Capital a with grave accent
&Aacute;,&#193;,Capital a with acute accent
&Acirc;,&#194;,Capital a with circumflex accent
&Atilde;,&#195;,Capital a with tilde
&Auml;,&#196;,Capital a with umlaut
&Aring;,&#197;,Capital a with ring
&AElig;,&#198;,Capital ae
&Ccedil;,&#199;,Capital c with cedilla
&Egrave;,&#200;,Capital e with grave accent
&Eacute;,&#201;,Capital e with acute accent
&Ecirc;,&#202;,Capital e with circumflex accent
&Euml;,&#203;,Capital e with umlaut
&Igrave;,&#204;,Capital i with grave accent
&Iacute;,&#205;,Capital i with accute accent
&Icirc;,&#206;,Capital i with circumflex accent
&Iuml;,&#207;,Capital i with umlaut
&ETH;,&#208;,Capital eth (Icelandic)
&Ntilde;,&#209;,Capital n with tilde
&Ograve;,&#210;,Capital o with grave accent
&Oacute;,&#211;,Capital o with accute accent
&Ocirc;,&#212;,Capital o with circumflex accent
&Otilde;,&#213;,Capital o with tilde
&Ouml;,&#214;,Capital o with umlaut
&Oslash;,&#216;,Capital o with slash
&Ugrave;,&#217;,Capital u with grave accent
&Uacute;,&#218;,Capital u with acute accent
&Ucirc;,&#219;,Capital u with circumflex accent
&Uuml;,&#220;,Capital u with umlaut
&Yacute;,&#221;,Capital y with acute accent
&THORN;,&#222;,Capital thorn (Icelandic)
&szlig;,&#223;,Lowercase sharp s (German)
&agrave;,&#224;,Lowercase a with grave accent
&aacute;,&#225;,Lowercase a with acute accent
&acirc;,&#226;,Lowercase a with circumflex accent
&atilde;,&#227;,Lowercase a with tilde
&auml;,&#228;,Lowercase a with umlaut
&aring;,&#229;,Lowercase a with ring
&aelig;,&#230;,Lowercase ae
&ccedil;,&#231;,Lowercase c with cedilla
&egrave;,&#232;,Lowercase e with grave accent
&eacute;,&#233;,Lowercase e with acute accent
&ecirc;,&#234;,Lowercase e with circumflex accent
&euml;,&#235;,Lowercase e with umlaut
&igrave;,&#236;,Lowercase i with grave accent
&iacute;,&#237;,Lowercase i with acute accent
&icirc;,&#238;,Lowercase i with circumflex accent
&iuml;,&#239;,Lowercase i with umlaut
&eth;,&#240;,Lowercase eth (Icelandic)
&ntilde;,&#241;,Lowercase n with tilde
&ograve;,&#242;,Lowercase o with grave accent
&oacute;,&#243;,Lowercase o with acute accent
&ocirc;,&#244;,Lowercase o with circumflex accent
&otilde;,&#245;,Lowercase o with tilde
&ouml;,&#246;,Lowercase o with umlaut
&oslash;,&#248;,Lowercase o with slash
&ugrave;,&#249;,Lowercase u with grave accent
&uacute;,&#250;,Lowercase u with acute accent
&ucirc;,&#251;,Lowercase u with circumflex accent
&uuml;,&#252;,Lowercase u with umlaut
&yacute;,&#253;,Lowercase y with acute accent
&thorn;,&#254;,Lowercase thorn (Icelandic)
&yuml;,&#255;,Lowercase y with umlaut
