Alpha Code,Numeric Code,Description
&euro;,&#8364;,SYM_EURO
&pound;,&#163;,YM_POUND
&yen;,&#165;,SYM_YEN
&cent;,&#162;,SYM_CENT
&curren;,&#164;,SYM_CURREN
&deg;,&#176;,SYM_DEG
&prime;,&#8242;,SYM_MIN_D
&Prime;,&#8243;,SYM_SEC_D
&micro;,&#181;,SYM_MICRO
&permil;,&#8240;,SYM_PERMIL
&iexcl;,&#161;,SYM_IEXCL
&brvbar;,&#166;,SYM_BRVBAR
&sect;,&#167;,SYM_SECT
&iquest;,&#191;,SYM_IQUEST
&dagger;,&#8224;,SYM_DAGGER
&Dagger;,&#8225;,SYM_DDAGGER
&trade;,&#8482;,SYM_TRADE
&reg;,&#174;,SYM_REG
&para;,&#182;,SYM_PARA
&fnof;,&#402;,SYM_L_FNOF
&circ;,&#710;,SYM_CIRC
&ndash;,&#8211;,SYM_NDASH
&mdash;,&#8212;,SYM_MDASH
&lsaquo;,&#8249;,YM_LSAQUO
&rsaquo;,&#8250;,SYM_RSAQUO
&laquo;,&#171;,SYM_LAQUO
&raquo;,&#187;,SYM_RAQUO
&lsquo;,&#8216;,SYM_LSQUO
&rsquo;,&#8217;,SYM_RSQUO
&sbquo;,&#8218;,SYM_SBQUO
&ldquo;,&#8220;,SYM_LDQUO
&rdquo;,&#8221;,SYM_RDQUO
&bdquo;,&#8222;,SYM_BDQUO
&hellip;,&#8230;,SYM_HELLIP
&oline;,&#8254;,SYM_OLINE
&macr;,&#175;,SYM_MACR
&acute;,&#180;,SYM_ACUTE
&cedil;,&#184;,SYM_CEDIL
&uml;,&#168;,SYM_UML
&larr;,&#8592;,SYM_LARR
&uarr;,&#8593;,SYM_UARR
&rarr;,&#8594;,SYM_RARR
&darr;,&#8595;,SYM_DARR
&harr;,&#8596;,SYM_HARR
&crarr;,&#8629;,SYM_CRARR
&loz;,&#9674;,SYM_LOZ
&spades;,&#9824;,SYM_SPADES
&clubs;,&#9827;,SYM_CLUBS
&hearts;,&#9829;,SYM_HEARTS
&diams;,&#9830;,SYM_DIAMS
&bull;,&#8226;,SYM_BULL
